ts_ns,current_before,target_current,requested,current_after,rc
1787749237458242083,77382430720,77309411328,73019392,77310078976,0
1787749237485830122,77378498560,77309411328,69087232,77310865408,0
1787749237513386381,77379022848,77309411328,69611520,77310865408,0
1787749237541682953,77378498560,77309411328,69087232,77311389696,0
1787749237570026016,77380333568,77309411328,70922240,77313486848,0
1787749237597707926,77382168576,77309411328,72757248,77309816832,0
1787749237625285755,77378236416,77309411328,68825088,77310603264,0
1787749237652997046,77378236416,77309411328,68825088,77310865408,0
1787749237681670816,77381644288,77309411328,72232960,77314535424,0
1787749237709949977,77383217152,77309411328,73805824,77310865408,0
1787749237737634928,77379284992,77309411328,69873664,77311913984,0
1787749237765587554,77380595712,77309411328,71184384,77313748992,0
1787749237793838535,77381644288,77309411328,72232960,77314535424,0
1787749237822469854,77384790016,77309411328,75378688,77312700416,0
1787749237850786426,77377187840,77309411328,67776512,77310078976,0
1787749237878802253,77377187840,77309411328,67776512,77310078976,0
1787749237906650367,77378498560,77309411328,69087232,77311389696,0
1787749237934936409,77380333568,77309411328,70922240,77313224704,0
1787749237963918523,77384527872,77309411328,75116544,77312700416,0
1787749237992287577,77382692864,77309411328,73281536,77310603264,0
1787749238020530518,77380333568,77309411328,70922240,77312962560,0
1787749238048963393,77382955008,77309411328,73543680,77311127552,0
1787749238077685402,77381382144,77309411328,71970816,77314535424,0
1787749238106420013,77386100736,77309411328,76689408,77313748992,0
1787749238134704745,77383479296,77309411328,74067968,77311913984,0
1787749238162630910,77378498560,77309411328,69087232,77311913984,0
1787749238191352780,77380857856,77309411328,71446528,77314273280,0
1787749238220637740,77376925696,77309411328,67514368,77310603264,0
1787749238249063205,77375614976,77309411328,66203648,77313748992,0
1787749238277786805,77383741440,77309411328,74330112,77312438272,0
1787749238305994445,77377187840,77309411328,67776512,77311127552,0
1787749238334644404,77380071424,77309411328,70660096,77313748992,0
1787749238363658169,77385052160,77309411328,75640832,77313748992,0
1787749238392241306,77384003584,77309411328,74592256,77312438272,0
1787749238420326565,77381120000,77309411328,71708672,77314011136,0
1787749238448424733,77379809280,77309411328,70397952,77312700416,0
1787749238477404278,77383217152,77309411328,73805824,77311389696,0
1787749238505088979,77380595712,77309411328,71184384,77313224704,0
1787749238532724278,77381644288,77309411328,72232960,77314273280,0
1787749238560422269,77382430720,77309411328,73019392,77310341120,0
1787749238588612210,77378760704,77309411328,69349376,77311651840,0
1787749238617041124,77382692864,77309411328,73281536,77310078976,0
1787749238644583172,77378498560,77309411328,69087232,77311127552,0
1787749238672035529,77379284992,77309411328,69873664,77311651840,0
1787749238699506316,77380071424,77309411328,70660096,77312700416,0
1787749238728080363,77381382144,77309411328,71970816,77314535424,0
1787749238756571109,77385576448,77309411328,76165120,77313224704,0
1787749238784222939,77382168576,77309411328,72757248,77309816832,0
1787749238814353685,77377449984,77309411328,68038656,77316894720,0
1787749238846586119,77385838592,77309411328,76427264,77323186176,0
1787749238879283853,77394489344,77309411328,85078016,77322924032,0
1787749238911224422,77391343616,77309411328,81932288,77325021184,0
1787749238943114531,77393178624,77309411328,83767296,77321351168,0
