ts_ns,current_before,trigger_current,target_current,requested,current_after,rc
1787752758210018817,111651786752,107374182400,85899345920,1073741824,110573641728,0
1787752758309951908,110573641728,107374182400,85899345920,1073741824,109494542336,0
1787752758420317893,109494542336,107374182400,85899345920,1073741824,108418260992,0
1787752758597492492,108418260992,107374182400,85899345920,1073741824,107338293248,0
1787752758675130987,107338293248,107374182400,85899345920,1073741824,106253459456,0
1787752758754446476,106253459456,107374182400,85899345920,1073741824,105175060480,0
1787752758822207918,105175060480,107374182400,85899345920,1073741824,104100929536,0
1787752758871409319,104100929536,107374182400,85899345920,1073741824,103023517696,0
1787752758919868845,103023517696,107374182400,85899345920,1073741824,101939814400,0
1787752758967732729,101939814400,107374182400,85899345920,1073741824,100857331712,0
1787752759016356909,100857331712,107374182400,85899345920,1073741824,99775987712,0
1787752759067155140,99775987712,107374182400,85899345920,1073741824,98693070848,0
1787752759137503094,98693070848,107374182400,85899345920,1073741824,97613090816,0
1787752759208221074,97613090816,107374182400,85899345920,1073741824,96532094976,0
1787752759278992466,96532094976,107374182400,85899345920,1073741824,95458299904,0
1787752759343633297,95458299904,107374182400,85899345920,1073741824,94381199360,0
1787752759404125398,94381199360,107374182400,85899345920,1073741824,93303963648,0
1787752759462106800,93303963648,107374182400,85899345920,1073741824,92221759488,0
1787752759519119123,92221759488,107374182400,85899345920,1073741824,91141890048,0
1787752759574540885,91141890048,107374182400,85899345920,1073741824,90068037632,0
1787752759632968206,90068037632,107374182400,85899345920,1073741824,88991019008,0
1787752759689468669,88991019008,107374182400,85899345920,1073741824,87914176512,0
1787752759745873620,87914176512,107374182400,85899345920,1073741824,86840004608,0
1787752759798452066,86840004608,107374182400,85899345920,940658688,85897891840,0
