ts_ns,current_before,trigger_current,target_current,requested,current_after,rc
1787750927651523836,111600128000,107374182400,85899345920,1073741824,110520356864,0
1787750927722743270,110520356864,107374182400,85899345920,1073741824,109444505600,0
1787750927798524150,109444505600,107374182400,85899345920,1073741824,108361236480,0
1787750927859431035,108361236480,107374182400,85899345920,1073741824,107280363520,0
1787750927915245242,107280363520,107374182400,85899345920,1073741824,106199281664,0
1787750927968597766,106199281664,107374182400,85899345920,1073741824,105117675520,0
1787750928024323520,105117675520,107374182400,85899345920,1073741824,104036855808,0
1787750928078230386,104036855808,107374182400,85899345920,1073741824,102956822528,0
1787750928133156233,102956822528,107374182400,85899345920,1073741824,101874167808,0
1787750928211586470,101874167808,107374182400,85899345920,1073741824,100798521344,0
1787750928264232299,100798521344,107374182400,85899345920,1073741824,99716915200,0
1787750928316390307,99716915200,107374182400,85899345920,1073741824,98637144064,0
1787750928391063004,98637144064,107374182400,85899345920,1073741824,97555394560,0
1787750928449272521,97555394560,107374182400,85899345920,1073741824,96478212096,0
1787750928500590772,96478212096,107374182400,85899345920,1073741824,95402848256,0
1787750928567001343,95402848256,107374182400,85899345920,1073741824,94328340480,0
1787750928629771967,94328340480,107374182400,85899345920,1073741824,93252947968,0
1787750928689506817,93252947968,107374182400,85899345920,1073741824,92172455936,0
1787750928748264725,92172455936,107374182400,85899345920,1073741824,91096649728,0
1787750928806950853,91096649728,107374182400,85899345920,1073741824,90021183488,0
1787750928867664953,90021183488,107374182400,85899345920,1073741824,88944250880,0
1787750928926636716,88944250880,107374182400,85899345920,1073741824,87864328192,0
1787750928984792692,87864328192,107374182400,85899345920,1073741824,86789955584,0
1787750929039642378,86789955584,107374182400,85899345920,890609664,85899137024,0
1787750929067302055,85911121920,107374182400,85899345920,11776000,85893660672,0
1787750929094490053,85912797184,107374182400,85899345920,13451264,85896687616,0
1787750929121614289,85912178688,107374182400,85899345920,12832768,85898268672,0
1787750929149118714,85913739264,107374182400,85899345920,14393344,85896409088,0
1787750929176891514,85912395776,107374182400,85899345920,13049856,85895200768,0
1787750929204290846,85912195072,107374182400,85899345920,12849152,85896286208,0
1787750929231446083,85913223168,107374182400,85899345920,13877248,85895585792,0
1787750929258488468,85911478272,107374182400,85899345920,12132352,85897568256,0
1787750929286158286,85911949312,107374182400,85899345920,12603392,85895823360,0
1787750929313869574,85910417408,107374182400,85899345920,11071488,85897293824,0
1787750929341700446,85914087424,107374182400,85899345920,14741504,85899227136,0
1787750929368854213,85908942848,107374182400,85899345920,9596928,85900173312,0
1787750929395704973,85912780800,107374182400,85899345920,13434880,85888958464,0
1787750929422993433,85903519744,107374182400,85899345920,4173824,85903622144,0
