ts_ns,current_before,target_current,requested,current_after,rc
1787748474187966907,77382098944,77309411328,72687616,77311057920,0
1787748474215653940,77371351040,77309411328,61939712,77309747200,0
1787748474244993013,77380263936,77309411328,70852608,77313417216,0
1787748474273386838,77384458240,77309411328,75046912,77313155072,0
1787748474301941146,77381312512,77309411328,71901184,77310533632,0
1787748474330056027,77380263936,77309411328,70852608,77313941504,0
1787748474358357220,77383147520,77309411328,73736192,77312106496,0
1787748474386702765,77373186048,77309411328,63774720,77310009344,0
1787748474414937718,77379739648,77309411328,70328320,77313417216,0
1787748474443026017,77380526080,77309411328,71114752,77313941504,0
1787748474470701829,77382623232,77309411328,73211904,77311057920,0
1787748474499097075,77380263936,77309411328,70852608,77313941504,0
1787748474527932358,77383671808,77309411328,74260480,77312368640,0
1787748474555615001,77381312512,77309411328,71901184,77310009344,0
1787748474583094989,77378166784,77309411328,68755456,77311582208,0
1787748474610582278,77379215360,77309411328,69804032,77312368640,0
1787748474639111656,77381312512,77309411328,71901184,77309485056,0
1787748474667479561,77378953216,77309411328,69541888,77312368640,0
1787748474695120382,77379215360,77309411328,69804032,77312630784,0
1787748474722791495,77380526080,77309411328,71114752,77313941504,0
1787748474751327713,77383147520,77309411328,73736192,77311844352,0
1787748474780217917,77382885376,77309411328,73474048,77311320064,0
1787748474807897279,77381050368,77309411328,71639040,77309485056,0
1787748474835425049,77376331776,77309411328,66920448,77309747200,0
1787748474862889797,77377642496,77309411328,68231168,77310795776,0
1787748474891473856,77379739648,77309411328,70328320,77313417216,0
1787748474920005464,77384458240,77309411328,75046912,77313417216,0
1787748474947728397,77382098944,77309411328,72687616,77310795776,0
1787748474975236356,77373710336,77309411328,64299008,77311844352,0
1787748475003216684,77378166784,77309411328,68755456,77311840256,0
1787748475031706441,77381570560,77309411328,72159232,77310529536,0
1787748475060608936,77381570560,77309411328,72159232,77310791680,0
1787748475088727456,77379997696,77309411328,70586368,77313937408,0
1787748475117404517,77382619136,77309411328,73207808,77311578112,0
1787748475146147499,77383667712,77309411328,74256384,77312102400,0
1787748475174856260,77382094848,77309411328,72683520,77311053824,0
1787748475203051212,77377638400,77309411328,68227072,77307383808,0
1787748475230948268,77373706240,77309411328,64294912,77311840256,0
1787748475258918306,77381046272,77309411328,71634944,77310005248,0
1787748475286822562,77376589824,77309411328,67178496,77309743104,0
1787748475315499883,77380259840,77309411328,70848512,77314199552,0
1787748475343812497,77383667712,77309411328,74256384,77312888832,0
1787748475371749864,77376589824,77309411328,67178496,77310005248,0
1787748475400080008,77379211264,77309411328,69799936,77312888832,0
1787748475428457293,77378162688,77309411328,68751360,77312348160,0
1787748475457393418,77383651328,77309411328,74240000,77312872448,0
1787748475485306705,77382340608,77309411328,72929280,77310775296,0
1787748475512897955,77378670592,77309411328,69259264,77312086016,0
1787748475540487766,77380505600,77309411328,71094272,77313921024,0
1787748475568884051,77379194880,77309411328,69783552,77312872448,0
1787748475597478590,77383913472,77309411328,74502144,77313134592,0
1787748475625290475,77380767744,77309411328,71356416,77314707456,0
1787748475652969567,77383389184,77309411328,73977856,77311561728,0
1787748475681141289,77380243456,77309411328,70832128,77313396736,0
1787748475709510554,77383913472,77309411328,74502144,77312348160,0
1787748475737165045,77380505600,77309411328,71094272,77313396736,0
1787748475764798497,77381816320,77309411328,72404992,77309726720,0
1787748475792364687,77378146304,77309411328,68734976,77310775296,0
1787748475820282444,77379719168,77309411328,70307840,77312348160,0
1787748475848778351,77381554176,77309411328,72142848,77309726720,0
1787748475876788919,77379457024,77309411328,70045696,77312610304,0
1787748475904788897,77381816320,77309411328,72404992,77309726720,0
1787748475932687914,77378932736,77309411328,69521408,77311823872,0
1787748475961102839,77380243456,77309411328,70832128,77313658880,0
1787748475990028925,77384962048,77309411328,75550720,77313658880,0
1787748476018570463,77383122944,77309411328,73711616,77312081920,0
1787748476047223753,77382336512,77309411328,72925184,77311033344,0
1787748476075820752,77381287936,77309411328,71876608,77314441216,0
1787748476104790028,77382598656,77309411328,73187328,77311295488,0
1787748476133013561,77380501504,77309411328,71090176,77313916928,0
1787748476161353285,77383122944,77309411328,73711616,77311819776,0
1787748476188887094,77373423616,77309411328,64012288,77309722624,0
1787748476217136267,77368705024,77309411328,59293696,77311557632,0
1787748476245694606,77380763648,77309411328,71352320,77313654784,0
1787748476273812956,77384171520,77309411328,74760192,77312081920,0
1787748476301855215,77381287936,77309411328,71876608,77314179072,0
1787748476329815852,77383647232,77309411328,74235904,77311295488,0
1787748476358291259,77381025792,77309411328,71614464,77313916928,0
1787748476387307256,77384171520,77309411328,74760192,77312606208,0
1787748476415127961,77382598656,77309411328,73187328,77310509056,0
1787748476442982646,77378404352,77309411328,68993024,77312081920,0
1787748476471136347,77378928640,77309411328,69517312,77312081920,0
1787748476501061391,77381812224,77309411328,72400896,77313765376,0
1787748476532631055,77382447104,77309411328,73035776,77319790592,0
1787748476563328713,77389258752,77309411328,79847424,77317361664,0
1787748476592516603,77383946240,77309411328,74534912,77315358720,0
1787748476622940816,77384564736,77309411328,75153408,77317980160,0
1787748476653443321,77389545472,77309411328,80134144,77317455872,0
1787748476681454109,77384302592,77309411328,74891264,77312475136,0
1787748476709000159,77379584000,77309411328,70172672,77312212992,0
1787748476736917896,77380632576,77309411328,71221248,77313523712,0
1787748476765392213,77382205440,77309411328,72794112,77310640128,0
1787748476793448632,77380632576,77309411328,71221248,77313523712,0
1787748476821572552,77382991872,77309411328,73580544,77311164416,0
1787748476849350096,77380632576,77309411328,71221248,77312999424,0
1787748476877433646,77381156864,77309411328,71745536,77313785856,0
1787748476908140014,77384826880,77309411328,75415552,77316669440,0
1787748476938147149,77386399744,77309411328,76988416,77319540736,0
1787748476966328151,77389008896,77309411328,79597568,77312356352,0
1787748476994198357,77380251648,77309411328,70840320,77312356352,0
1787748477022779485,77382332416,77309411328,72921088,77309980672,0
1787748477051412025,77381808128,77309411328,72396800,77309456384,0
1787748477079004986,77379186688,77309411328,69775360,77311029248,0
1787748477106539255,77379186688,77309411328,69775360,77311553536,0
1787748477134545784,77378138112,77309411328,68726784,77310767104,0
1787748477162696435,77379448832,77309411328,70037504,77311815680,0
1787748477189975039,77380235264,77309411328,70823936,77312339968,0
1787748477217587650,77372633088,77309411328,63221760,77309718528,0
1787748477244798104,77376303104,77309411328,66891776,77308145664,0
1787748477272569018,77376565248,77309411328,67153920,77308932096,0
1787748477301115906,77379973120,77309411328,70561792,77312077824,0
1787748477329043173,77381808128,77309411328,72396800,77309456384,0
1787748477356863517,77378400256,77309411328,68988928,77310767104,0
1787748477384338336,77379710976,77309411328,70299648,77311553536,0
1787748477412778842,77379973120,77309411328,70561792,77312077824,0
1787748477441477533,77382332416,77309411328,72921088,77309718528,0
1787748477469358909,77379973120,77309411328,70561792,77312077824,0
1787748477497064272,77381808128,77309411328,72396800,77309456384,0
1787748477524628452,77376827392,77309411328,67416064,77309194240,0
1787748477553557547,77379710976,77309411328,70299648,77312077824,0
1787748477581436083,77382332416,77309411328,72921088,77310242816,0
1787748477608811980,77378138112,77309411328,68726784,77310504960,0
1787748477636139165,77378400256,77309411328,68988928,77310504960,0
1787748477664351667,77377875968,77309411328,68464640,77310242816,0
1787748477692596370,77380759552,77309411328,71348224,77313126400,0
1787748477720172080,77382070272,77309411328,72658944,77309718528,0
1787748477747668739,77378138112,77309411328,68726784,77310767104,0
1787748477775046696,77378138112,77309411328,68726784,77309194240,0
1787748477803036534,77377609728,77309411328,68198400,77309452288,0
1787748477831233415,77380493312,77309411328,71081984,77312860160,0
