ts_ns,current_before,trigger_current,target_current,requested,current_after,rc
1787751498527620400,111613243392,107374182400,85899345920,1073741824,110533103616,0
1787751498613810177,110533103616,107374182400,85899345920,1073741824,109456535552,0
1787751498702487754,109456535552,107374182400,85899345920,1073741824,108374851584,0
1787751498781879186,108374851584,107374182400,85899345920,1073741824,107297124352,0
1787751498849657646,107297124352,107374182400,85899345920,1073741824,106222813184,0
1787751498903266284,106222813184,107374182400,85899345920,1073741824,105142517760,0
1787751498955872522,105142517760,107374182400,85899345920,1073741824,104063008768,0
1787751499008964890,104063008768,107374182400,85899345920,1073741824,102982451200,0
1787751499061031947,102982447104,107374182400,85899345920,1073741824,101900840960,0
1787751499138371268,101900840960,107374182400,85899345920,1073741824,100820533248,0
1787751499208145878,100820533248,107374182400,85899345920,1073741824,99739021312,0
1787751499256807887,99739021312,107374182400,85899345920,1073741824,98660560896,0
1787751499307225702,98660560896,107374182400,85899345920,1073741824,97577119744,0
1787751499356707697,97577119744,107374182400,85899345920,1073741824,96502853632,0
1787751499407821486,96502853632,107374182400,85899345920,1073741824,95428063232,0
1787751499483298579,95428063232,107374182400,85899345920,1073741824,94346858496,0
1787751499541132371,94346858496,107374182400,85899345920,1073741824,93272104960,0
1787751499599853341,93272104960,107374182400,85899345920,1073741824,92192886784,0
1787751499655992510,92192886784,107374182400,85899345920,1073741824,91117834240,0
1787751499715879483,91117834240,107374182400,85899345920,1073741824,90041929728,0
1787751499774712625,90041929728,107374182400,85899345920,1073741824,88961740800,0
1787751499836145579,88961740800,107374182400,85899345920,1073741824,87884099584,0
1787751499894877809,87884099584,107374182400,85899345920,1073741824,86803472384,0
1787751499970890113,86803472384,107374182400,85899345920,904126464,85892730880,0
