ts_ns,current_before,trigger_current,target_current,requested,current_after,rc
1787750788125290444,111648583680,107374182400,85899345920,1073741824,110572634112,0
1787750788234172666,110572634112,107374182400,85899345920,1073741824,109486854144,0
1787750788319387030,109486854144,107374182400,85899345920,1073741824,108405182464,0
1787750788408234773,108405182464,107374182400,85899345920,1073741824,107330355200,0
1787750788487818834,107330355200,107374182400,85899345920,1073741824,106249932800,0
1787750788558259335,106249932800,107374182400,85899345920,1073741824,105166315520,0
1787750788613410592,105166315520,107374182400,85899345920,1073741824,104087068672,0
1787750788666397361,104087068672,107374182400,85899345920,1073741824,103007494144,0
1787750788754353935,103007494144,107374182400,85899345920,1073741824,101927710720,0
1787750788824315815,101927710720,107374182400,85899345920,1073741824,100852695040,0
1787750788877050559,100852695040,107374182400,85899345920,1073741824,99776593920,0
1787750788929280931,99776593920,107374182400,85899345920,1073741824,98700718080,0
1787750788982300411,98700718080,107374182400,85899345920,1073741824,97617801216,0
1787750789053080719,97617801216,107374182400,85899345920,1073741824,96543064064,0
1787750789136774370,96543064064,107374182400,85899345920,1073741824,95468486656,0
1787750789201547176,95468486656,107374182400,85899345920,1073741824,94386266112,0
1787750789261105439,94386266112,107374182400,85899345920,1073741824,93310689280,0
1787750789317687046,93310689280,107374182400,85899345920,1073741824,92232163328,0
1787750789375973541,92232163328,107374182400,85899345920,1073741824,91156979712,0
1787750789434032231,91156979712,107374182400,85899345920,1073741824,90081538048,0
1787750789491059218,90081538048,107374182400,85899345920,1073741824,89003106304,0
1787750789547370429,89003106304,107374182400,85899345920,1073741824,87921106944,0
1787750789605471860,87921106944,107374182400,85899345920,1073741824,86840582144,0
1787750789659989542,86840582144,107374182400,85899345920,941236224,85896962048,0
