run,total_tput_change_pct,get_tput_change_pct,set_tput_change_pct,get_p99_change_pct,set_p99_change_pct,joint_p99_change_pct,get_p999_change_pct,set_p999_change_pct,get_p9999_change_pct,set_p9999_change_pct,joint_p9999_change_pct
h1,3.3959298927239923,3.1302927107692335,3.62222545437747,-2.1993127147766356,-2.6755852842809347,-2.6755852842809347,-20.502306509482327,-13.452443510246981,-55.62774363476735,-61.253930090623264,-55.62774363476735
h3,13.00610161648368,10.005708491609555,15.46360947160126,-11.001964636542239,-12.508143322475561,-11.465798045602604,-16.21308627678054,-16.753926701570688,-36.7440673641235,-37.7226685295145,-36.7440673641235
h4,2.6533907350983377,1.543650157663845,3.5465351864915284,-10.00658327847267,-9.58083832335329,-10.00658327847267,-15.357766143106454,-12.803793716656786,-65.21676508713811,-66.17944332141191,-65.21676508713811
h5,-0.33093155152164044,1.594646169964431,-1.8461171948953248,-1.7057569296375252,-1.1436740528949274,-1.7057569296375252,-2.6333113890717463,3.6673215455140795,-80.2148612354521,-82.82714961134707,-80.51927237759435
