ts_ns,current_before,target_current,requested,current_after,rc
1787749852150552484,77323522048,77309411328,14110720,77309599744,0
1787749852177389639,77322702848,77309411328,13291520,77309210624,0
1787749852204348976,77322842112,77309411328,13430784,77308522496,0
1787749852231176270,77322153984,77309411328,12742656,77308334080,0
1787749852258706848,77322489856,77309411328,13078528,77308235776,0
1787749852286439619,77322915840,77309411328,13504512,77309612032,0
1787749852313496928,77322711040,77309411328,13299712,77309538304,0
1787749852340411795,77323169792,77309411328,13758464,77309177856,0
1787749852367705458,77323595776,77309411328,14184448,77309218816,0
1787749852395796066,77324161024,77309411328,14749696,77306007552,0
1787749852423201301,77320163328,77309411328,10752000,77306597376,0
1787749852450156768,77319962624,77309411328,10551296,77306658816,0
1787749852477145546,77320810496,77309411328,11399168,77306556416,0
1787749852504558192,77320179712,77309411328,10768384,77306941440,0
1787749852532134880,77320835072,77309411328,11423744,77306445824,0
1787749852559873482,77320048640,77309411328,10637312,77306580992,0
1787749852586837819,77319159808,77309411328,9748480,77304913920,0
1787749852613540451,77318021120,77309411328,8609792,77309009920,0
1787749852641149510,77321592832,77309411328,12181504,77307047936,0
1787749852668859101,77320679424,77309411328,11268096,77306322944,0
1787749852695514993,77318639616,77309411328,9228288,77309362176,0
1787749852722361808,77321674752,77309411328,12263424,77308010496,0
1787749852749343535,77319806976,77309411328,10395648,77305356288,0
1787749852776395304,77317672960,77309411328,8261632,77308104704,0
1787749852804115235,77319884800,77309411328,10473472,77306556416,0
1787749852830963141,77318868992,77309411328,9457664,77309661184,0
1787749852857957818,77320929280,77309411328,11517952,77307674624,0
1787749852884871185,77319462912,77309411328,10051584,77305896960,0
1787749852911953104,77317693440,77309411328,8282112,77308104704,0
1787749852939734186,77320687616,77309411328,11276288,77307449344,0
1787749852966407578,77318717440,77309411328,9306112,77309124608,0
1787749852993381276,77320921088,77309411328,11509760,77307498496,0
1787749853020347893,77319553024,77309411328,10141696,77305937920,0
1787749853047568265,77318520832,77309411328,9109504,77309444096,0
1787749853075329447,77323599872,77309411328,14188544,77309239296,0
1787749853102233903,77322866688,77309411328,13455360,77308489728,0
1787749853129190380,77322121216,77309411328,12709888,77308067840,0
1787749853156062315,77321695232,77309411328,12283904,77307617280,0
1787749853183482541,77320986624,77309411328,11575296,77307715584,0
1787749853211261653,77320822784,77309411328,11411456,77307658240,0
1787749853238372913,77319974912,77309411328,10563584,77306392576,0
1787749853265279029,77319237632,77309411328,9826304,77304713216,0
1787749853292043943,77317558272,77309411328,8146944,77309009920,0
1787749853320087070,77321592832,77309411328,12181504,77307719680,0
1787749853347438454,77320560640,77309411328,11149312,77307236352,0
1787749853374487463,77319819264,77309411328,10407936,77306458112,0
1787749853401377999,77319303168,77309411328,9891840,77306032128,0
1787749853428265995,77318615040,77309411328,9203712,77309939712,0
1787749853456370473,77324091392,77309411328,14680064,77304938496,0
1787749853483059805,77318291456,77309411328,8880128,77309501440,0
1787749853509863610,77322604544,77309411328,13193216,77308907520,0
1787749853536700844,77322539008,77309411328,13127680,77308194816,0
