ts_ns,current_before,target_current,requested,current_after,rc
1787748069668799559,77367549952,77309411328,58138624,77310402560,0
1787748069696934995,77368074240,77309411328,58662912,77311188992,0
1787748069724584952,77367812096,77309411328,58400768,77310664704,0
1787748069752190818,77367549952,77309411328,58138624,77310402560,0
1787748069779697962,77367025664,77309411328,57614336,77309878272,0
1787748069808018262,77367025664,77309411328,57614336,77309878272,0
1787748069836416812,77368074240,77309411328,58662912,77310664704,0
1787748069863970657,77367812096,77309411328,58400768,77310664704,0
1787748069891537162,77367287808,77309411328,57876480,77310140416,0
1787748069919003196,77366239232,77309411328,56827904,77309353984,0
1787748069947718572,77366763520,77309411328,57352192,77310140416,0
1787748069975809097,77366763520,77309411328,57352192,77309616128,0
1787748070003260411,77365714944,77309411328,56303616,77313548288,0
1787748070031107741,77368336384,77309411328,58925056,77311451136,0
1787748070059404260,77367812096,77309411328,58400768,77310926848,0
1787748070088089246,77368598528,77309411328,59187200,77311451136,0
1787748070116107179,77369122816,77309411328,59711488,77311975424,0
1787748070143807877,77368860672,77309411328,59449344,77311188992,0
1787748070171293871,77368074240,77309411328,58662912,77310926848,0
1787748070199320344,77367287808,77309411328,57876480,77309878272,0
1787748070227751946,77363617792,77309411328,54206464,77311451136,0
1787748070255748369,77366763520,77309411328,57352192,77309616128,0
1787748070283612890,77367025664,77309411328,57614336,77309878272,0
1787748070310866619,77364142080,77309411328,54730752,77310402560,0
1787748070339476234,77364404224,77309411328,54992896,77312499712,0
1787748070367803603,77368860672,77309411328,59449344,77310664704,0
1787748070394926070,77375676416,77309411328,66265088,77311713280,0
1787748070422143279,77380132864,77309411328,70721536,77313024000,0
1787748070449914908,77381967872,77309411328,72556544,77309616128,0
1787748070478697916,77372792832,77309411328,63381504,77310402560,0
1787748070506374973,77369909248,77309411328,60497920,77312761856,0
1787748070533862837,77369384960,77309411328,59973632,77312499712,0
1787748070561291570,77373317120,77309411328,63905792,77309616128,0
1787748070588808294,77378297856,77309411328,68886528,77311713280,0
1787748070616796637,77380132864,77309411328,70721536,77313286144,0
1787748070644693209,77381443584,77309411328,72032256,77309353984,0
1787748070672844515,77373054976,77309411328,63643648,77310140416,0
1787748070700565843,77369909248,77309411328,60497920,77312761856,0
1787748070728844581,77369909248,77309411328,60497920,77313286144,0
1787748070757891934,77370957824,77309411328,61546496,77315121152,0
1787748070788446234,77370957824,77309411328,61546496,77320364032,0
1787748070818736339,77367812096,77309411328,58400768,77316956160,0
1787748070848405143,77364666368,77309411328,55255040,77317742592,0
1787748070879036564,77365190656,77309411328,55779328,77319045120,0
1787748070909280739,77378027520,77309411328,68616192,77316947968,0
1787748070939922441,77386416128,77309411328,77004800,77320187904,0
1787748070969870420,77387821056,77309411328,78409728,77315026944,0
1787748070999768568,77378465792,77309411328,69054464,77315354624,0
1787748071028315921,77373026304,77309411328,63614976,77309587456,0
1787748071056363045,77380366336,77309411328,70955008,77312733184,0
1787748071086819433,77382725632,77309411328,73314304,77316608000,0
1787748071117294472,77385289728,77309411328,75878400,77319294976,0
1787748071148045176,77371985920,77309411328,62574592,77315997696,0
1787748071177165610,77371834368,77309411328,62423040,77313077248,0
1787748071206358675,77374156800,77309411328,64745472,77312704512,0
1787748071235719763,77380861952,77309411328,71450624,77318459392,0
1787748071264553841,77386878976,77309411328,77467648,77310795776,0
1787748071293264298,77374496768,77309411328,65085440,77312106496,0
1787748071320899564,77370302464,77309411328,60891136,77313417216,0
1787748071349447098,77369778176,77309411328,60366848,77315514368,0
1787748071379223024,77371875328,77309411328,62464000,77313855488,0
1787748071408393568,77377818624,77309411328,68407296,77313351680,0
1787748071436422652,77382033408,77309411328,72622080,77310447616,0
1787748071463699512,77374410752,77309411328,64999424,77310910464,0
1787748071491421520,77370679296,77309411328,61267968,77314056192,0
1787748071519703199,77370679296,77309411328,61267968,77313794048,0
1787748071548518807,77371727872,77309411328,62316544,77309861888,0
1787748071576281586,77368582144,77309411328,59170816,77311959040,0
1787748071604333790,77368057856,77309411328,58646528,77312393216,0
1787748071631870485,77369016320,77309411328,59604992,77311868928,0
1787748071659854158,77370064896,77309411328,60653568,77313179648,0
1787748071688864550,77370851328,77309411328,61440000,77314752512,0
1787748071716961255,77371899904,77309411328,62488576,77309509632,0
1787748071744732104,77369016320,77309411328,59604992,77311868928,0
1787748071772495393,77368754176,77309411328,59342848,77311606784,0
1787748071801243950,77369278464,77309411328,59867136,77312131072,0
1787748071829429046,77370064896,77309411328,60653568,77312917504,0
1787748071856965301,77369802752,77309411328,60391424,77312393216,0
1787748071884487976,77369278464,77309411328,59867136,77312131072,0
1787748071913225233,77369802752,77309411328,60391424,77312655360,0
1787748071941664144,77370589184,77309411328,61177856,77313179648,0
1787748071969166428,77370327040,77309411328,60915712,77312917504,0
1787748071996609531,77369540608,77309411328,60129280,77311868928,0
1787748072024322869,77369016320,77309411328,59604992,77311606784,0
1787748072052863512,77369278464,77309411328,59867136,77312655360,0
1787748072081090940,77370064896,77309411328,60653568,77312655360,0
1787748072108651345,77369278464,77309411328,59867136,77312393216,0
1787748072136157939,77368754176,77309411328,59342848,77311344640,0
1787748072163538281,77368229888,77309411328,58818560,77310820352,0
1787748072192524583,77379502080,77309411328,70090752,77314752512,0
1787748072222264728,77376094208,77309411328,66682880,77315014656,0
1787748072250683439,77383696384,77309411328,74285056,77311868928,0
1787748072279052159,77380026368,77309411328,70615040,77313703936,0
1787748072307220555,77383172096,77309411328,73760768,77310820352,0
1787748072335677007,77374783488,77309411328,65372160,77310820352,0
1787748072363565078,77379239936,77309411328,69828608,77312393216,0
1787748072391332977,77379502080,77309411328,70090752,77312393216,0
1787748072418975674,77374259200,77309411328,64847872,77311344640,0
1787748072447269332,77371113472,77309411328,61702144,77312655360,0
1787748072475152584,77382909952,77309411328,73498624,77309247488,0
1787748072502443514,77378191360,77309411328,68780032,77310296064,0
1787748072529619182,77378453504,77309411328,69042176,77310558208,0
1787748072557085805,77371113472,77309411328,61702144,77313703936,0
1787748072585353514,77370851328,77309411328,61440000,77313703936,0
1787748072613852556,77371375616,77309411328,61964288,77308723200,0
1787748072641370961,77367967744,77309411328,58556416,77310558208,0
1787748072668696501,77367443456,77309411328,58032128,77309509632,0
1787748072696294177,77376356352,77309411328,66945024,77312655360,0
1787748072724230460,77382385664,77309411328,72974336,77309247488,0
1787748072751408428,77373472768,77309411328,64061440,77308985344,0
1787748072778972373,77368754176,77309411328,59342848,77311082496,0
1787748072806386416,77368229888,77309411328,58818560,77310558208,0
1787748072834474780,77367967744,77309411328,58556416,77310296064,0
1787748072862860271,77366919168,77309411328,57507840,77309247488,0
1787748072890307554,77366132736,77309411328,56721408,77307936768,0
1787748072918040742,77365084160,77309411328,55672832,77313703936,0
1787748072945940494,77381861376,77309411328,72450048,77309771776,0
1787748072974695651,77378977792,77309411328,69566464,77312655360,0
1787748073004393665,77384482816,77309411328,75071488,77314228224,0
1787748073032956779,77379239936,77309411328,69828608,77313703936,0
1787748073061281638,77375569920,77309411328,66158592,77313179648,0
1787748073089858652,77372948480,77309411328,63537152,77310283776,0
1787748073118222922,77370052608,77309411328,60641280,77313167360,0
1787748073145774177,77369004032,77309411328,59592704,77311844352,0
1787748073173333742,77368467456,77309411328,59056128,77311320064,0
1787748073200729024,77367943168,77309411328,58531840,77307387904,0
1787748073229317569,77364011008,77309411328,54599680,77311582208,0
1787748073257765860,77367156736,77309411328,57745408,77310533632,0
1787748073285995258,77367943168,77309411328,58531840,77311320064,0
1787748073314374198,77368205312,77309411328,58793984,77311582208,0
1787748073342130227,77368729600,77309411328,59318272,77310795776,0
1787748073370097769,77378428928,77309411328,69017600,77311844352,0
1787748073398546371,77381836800,77309411328,72425472,77309747200,0
